Step, Strands, <Q>, piYX, trouton_1, trouton_2
193, 991, 0.211077, 0.026819, 6.823005, 0.031816
194, 987, 0.211767, 0.027405, 6.921874, 0.027576
195, 995, 0.210225, 0.032439, 6.680784, 0.034016
196, 989, 0.210559, 0.032624, 6.715969, 0.030791
197, 989, 0.210179, 0.035412, 6.698911, 0.033902
198, 992, 0.210336, 0.032851, 6.694593, 0.021449
199, 987, 0.210489, 0.034379, 6.630775, 0.020933
200, 981, 0.211032, 0.032355, 6.676327, 0.021377
201, 983, 0.210950, 0.028462, 6.654703, 0.007399
202, 982, 0.210599, 0.028260, 6.682358, 0.007438
203, 983, 0.210240, 0.029128, 6.709612, 0.000489
204, 981, 0.210734, 0.027574, 6.796628, -0.008726
205, 979, 0.210951, 0.033634, 6.740191, -0.018902
206, 975, 0.211930, 0.036908, 6.848375, -0.029233
207, 978, 0.211955, 0.033196, 6.890515, -0.027835
208, 976, 0.211596, 0.033043, 6.926256, -0.029635
209, 978, 0.211438, 0.025514, 6.969230, -0.022492
210, 971, 0.211979, 0.024231, 7.067117, -0.020647
211, 972, 0.212492, 0.022799, 7.187640, -0.022807
212, 979, 0.210683, 0.021557, 6.900278, -0.027894
213, 978, 0.210663, 0.023812, 6.920044, -0.026084
214, 978, 0.210681, 0.027131, 6.938351, -0.025936
215, 975, 0.211685, 0.025385, 7.025975, -0.005693
216, 981, 0.211235, 0.030082, 7.096667, -0.007427
217, 986, 0.211111, 0.034183, 7.209444, -0.014647
218, 983, 0.211645, 0.030097, 7.222492, -0.021620
219, 985, 0.212307, 0.030297, 7.084507, -0.036285
220, 980, 0.211526, 0.030142, 6.848106, -0.033103
221, 980, 0.211318, 0.030004, 6.874639, -0.036708
222, 979, 0.211183, 0.033748, 6.932128, -0.045103
223, 979, 0.209571, 0.023526, 6.592678, -0.055255
224, 981, 0.210671, 0.023827, 6.748121, -0.055213
225, 981, 0.210958, 0.017443, 6.823863, -0.051275
226, 987, 0.209611, 0.012443, 6.775771, -0.034559
227, 985, 0.210007, 0.015758, 6.879074, -0.041669
228, 975, 0.210346, 0.012435, 6.850109, -0.043892
229, 974, 0.211250, 0.012408, 6.970454, -0.036757
230, 973, 0.211634, 0.015206, 7.104206, -0.026532
231, 976, 0.210035, 0.020273, 7.013479, -0.026679
232, 978, 0.209947, 0.018510, 7.101072, -0.028240
233, 982, 0.209727, 0.018581, 7.160598, -0.027580
234, 978, 0.209898, 0.019880, 7.150506, -0.038670
235, 977, 0.210610, 0.024121, 7.234351, -0.028303
236, 974, 0.210748, 0.023961, 7.185648, -0.031487
237, 971, 0.211270, 0.019857, 7.319595, -0.027432
238, 976, 0.211025, 0.019600, 7.315808, -0.023112
239, 974, 0.210719, 0.021848, 7.342985, -0.018172
240, 976, 0.209450, 0.020569, 7.317021, -0.015024
241, 977, 0.209421, 0.024631, 7.411108, -0.006221
242, 980, 0.209461, 0.022350, 7.510810, 0.002357
243, 975, 0.209265, 0.023747, 7.583131, 0.005499
244, 972, 0.209328, 0.022956, 7.653428, 0.000129
245, 976, 0.210083, 0.022171, 7.825240, 0.013386
246, 977, 0.210390, 0.023972, 7.935669, 0.019730
247, 981, 0.209430, 0.016472, 7.797446, 0.023565
248, 981, 0.209971, 0.017275, 7.759857, 0.015769
249, 986, 0.209536, 0.017070, 7.784390, 0.010684
250, 988, 0.210242, 0.017876, 7.929632, 0.009874
251, 978, 0.211334, 0.016218, 8.047226, 0.015374
252, 977, 0.211565, 0.015507, 8.151895, 0.003113
253, 972, 0.211004, 0.017228, 8.204861, 0.011978
254, 972, 0.210465, 0.022336, 8.076242, 0.009399
255, 965, 0.210039, 0.020176, 7.801946, 0.020937
256, 963, 0.210013, 0.016671, 7.871485, 0.026006
257, 969, 0.210447, 0.018118, 7.992480, 0.043160
258, 973, 0.209311, 0.012439, 7.799819, 0.044855
259, 984, 0.209152, 0.017461, 7.857777, 0.045381
260, 987, 0.207868, 0.023127, 7.603763, 0.031673
261, 982, 0.206228, 0.024114, 7.445573, 0.010749
262, 978, 0.206318, 0.023440, 7.507754, 0.021128
263, 981, 0.206569, 0.027711, 7.612629, 0.015682
264, 983, 0.205872, 0.017269, 7.676633, 0.023693
265, 979, 0.206593, 0.011393, 7.711988, 0.024052
266, 980, 0.207346, 0.013524, 7.875674, 0.025281
267, 978, 0.206630, 0.009089, 7.861631, 0.033274
268, 975, 0.206807, 0.007587, 7.929915, 0.025316
269, 977, 0.205355, 0.017930, 7.763161, 0.033134
270, 975, 0.205790, 0.019636, 7.829243, 0.022357
271, 972, 0.205529, 0.023947, 7.814460, 0.031307
272, 975, 0.205731, 0.022743, 7.942650, 0.036204
273, 973, 0.204470, 0.025869, 7.723788, 0.050689
274, 969, 0.203948, 0.026799, 7.435924, 0.033720
275, 967, 0.203673, 0.027779, 7.375560, 0.023066
